,datetime,pnl_sum,return
332,2025-05-26 15:00:00,12299.844179533184,0.0012299844179533184
333,2025-05-26 15:05:00,7449.925208458846,0.0007449925208458846
334,2025-05-26 15:10:00,11149.877056614458,0.0011149877056614457
335,2025-05-26 15:15:00,5749.961557248298,0.0005749961557248298
336,2025-05-26 15:20:00,11249.944107700328,0.0011249944107700328
337,2025-05-26 15:25:00,4899.914814449096,0.0004899914814449096
338,2025-05-26 15:30:00,16499.837503785053,0.0016499837503785053
339,2025-05-27 09:00:00,9599.018078365478,0.0009599018078365477
340,2025-05-27 09:05:00,14495.271850746158,0.0014495271850746157
341,2025-05-27 09:10:00,8099.70686771984,0.000809970686771984
342,2025-05-27 09:15:00,15099.516237746897,0.0015099516237746897
343,2025-05-27 09:20:00,10799.509387479937,0.0010799509387479937
344,2025-05-27 09:25:00,19998.097277005607,0.001999809727700561
345,2025-05-27 09:30:00,14099.682016090184,0.0014099682016090185
346,2025-05-27 09:35:00,21799.942038138826,0.0021799942038138826
347,2025-05-27 09:40:00,13799.889059247007,0.0013799889059247007
348,2025-05-27 09:45:00,19198.882379471772,0.0019198882379471772
349,2025-05-27 09:50:00,12299.745077065521,0.0012299745077065521
350,2025-05-27 09:55:00,19299.699070309918,0.001929969907030992
351,2025-05-27 10:00:00,11699.90406859609,0.001169990406859609
352,2025-05-27 10:05:00,21799.362251162176,0.0021799362251162177
353,2025-05-27 10:10:00,12899.953913696512,0.0012899953913696513
354,2025-05-27 10:15:00,23599.399905668623,0.002359939990566862
355,2025-05-27 10:20:00,12599.914423720731,0.001259991442372073
356,2025-05-27 10:25:00,25899.01416009636,0.002589901416009636
357,2025-05-27 10:30:00,12299.918129972039,0.0012299918129972038
358,2025-05-27 10:35:00,24799.22141064756,0.0024799221410647557
359,2025-05-27 10:40:00,13199.922310613669,0.001319992231061367
360,2025-05-27 10:45:00,26199.632727326363,0.0026199632727326363
361,2025-05-27 10:50:00,14400.0,0.00144
362,2025-05-27 10:55:00,28699.56486373842,0.0028699564863738417
363,2025-05-27 11:00:00,15900.0,0.00159
364,2025-05-27 11:05:00,27999.72055912682,0.002799972055912682
365,2025-05-27 11:10:00,17099.903292555413,0.0017099903292555412
366,2025-05-27 11:15:00,28699.952990995618,0.0028699952990995617
367,2025-05-27 11:20:00,16499.936891854926,0.0016499936891854925
368,2025-05-27 11:25:00,27599.79286187233,0.0027599792861872333
369,2025-05-27 11:30:00,16800.0,0.00168
370,2025-05-27 12:30:00,29299.70222159571,0.002929970222159571
371,2025-05-27 12:35:00,17399.971199953765,0.0017399971199953766
372,2025-05-27 12:40:00,31399.778939382384,0.0031399778939382385
373,2025-05-27 12:45:00,18899.972750178866,0.0018899972750178865
374,2025-05-27 12:50:00,31499.80624752395,0.003149980624752395
375,2025-05-27 12:55:00,19500.0,0.00195
376,2025-05-27 13:00:00,32199.80818814523,0.003219980818814523
377,2025-05-27 13:05:00,19200.0,0.00192
378,2025-05-27 13:10:00,32999.91995426908,0.0032999919954269075
379,2025-05-27 13:15:00,19800.0,0.00198
380,2025-05-27 13:20:00,33099.77374700146,0.0033099773747001463
381,2025-05-27 13:25:00,17399.884314763658,0.0017399884314763657
382,2025-05-27 13:30:00,14999.880035137749,0.0014999880035137748
383,2025-05-27 13:40:00,15000.0,0.0015
384,2025-05-27 13:50:00,13399.772756744534,0.0013399772756744535
385,2025-05-27 14:00:00,12599.889755698608,0.0012599889755698609
386,2025-05-27 14:10:00,10599.731662837177,0.0010599731662837178
387,2025-05-27 14:20:00,6149.771689396678,0.0006149771689396678
388,2025-05-27 14:30:00,5249.89383159312,0.000524989383159312
389,2025-05-27 14:40:00,1949.6280813735527,0.00019496280813735526
390,2025-05-27 14:50:00,3449.839671635707,0.0003449839671635707
391,2025-05-27 15:00:00,2999.9542198684744,0.00029999542198684743
392,2025-05-27 15:10:00,2849.9851812784427,0.0002849985181278443
393,2025-05-27 15:20:00,2249.942397359664,0.0002249942397359664
394,2025-05-27 15:30:00,3599.9092648188553,0.00035999092648188554
395,2025-05-28 09:05:00,-753.9721619885095,-7.539721619885095e-05
396,2025-05-28 09:15:00,6148.3191650481,0.00061483191650481
397,2025-05-28 09:25:00,5399.850971728361,0.0005399850971728362
398,2025-05-28 09:35:00,7049.701843743869,0.0007049701843743869
399,2025-05-28 09:45:00,7050.0,0.000705
400,2025-05-28 09:55:00,6749.949749776526,0.0006749949749776526
401,2025-05-28 10:05:00,5999.881448300145,0.0005999881448300145
402,2025-05-28 10:15:00,6000.0,0.0006
403,2025-05-28 10:25:00,7199.824620599164,0.0007199824620599163
404,2025-05-28 10:35:00,5999.831695215247,0.0005999831695215248
405,2025-05-28 10:45:00,5549.938024993692,0.0005549938024993692
406,2025-05-28 10:55:00,4949.918991071749,0.0004949918991071749
407,2025-05-28 11:05:00,5399.941555837275,0.0005399941555837275
408,2025-05-28 11:15:00,3799.97467173817,0.000379997467173817
409,2025-05-28 11:25:00,3699.98765594768,0.00036999876559476805
410,2025-05-28 12:30:00,2399.8475386996606,0.00023998475386996607
411,2025-05-28 12:40:00,3499.8789543565617,0.0003499878954356562
412,2025-05-28 12:50:00,3699.9785157436754,0.00036999785157436756
413,2025-05-28 13:00:00,3799.989560608792,0.0003799989560608792
414,2025-05-28 13:10:00,3599.979718553855,0.0003599979718553855
415,2025-05-28 13:20:00,3999.96029240006,0.000399996029240006
416,2025-05-28 13:30:00,4699.932956116913,0.00046999329561169136
417,2025-05-28 13:40:00,4799.990564900927,0.0004799990564900927
418,2025-05-28 13:50:00,4899.990878629834,0.0004899990878629834
419,2025-05-28 14:00:00,4399.955432859171,0.0004399955432859171
420,2025-05-28 14:10:00,4599.982517693719,0.00045999825176937193
421,2025-05-28 14:20:00,5099.957646180579,0.000509995764618058
422,2025-05-28 14:30:00,5499.967125868642,0.0005499967125868642
423,2025-05-28 14:40:00,5599.992022304936,0.0005599992022304936
424,2025-05-28 14:50:00,5099.961003281158,0.0005099961003281158
425,2025-05-28 15:00:00,4999.992358530986,0.0004999992358530987
426,2025-05-28 15:10:00,3399.8817489723856,0.00033998817489723856
427,2025-05-28 15:20:00,3599.9857155319187,0.00035999857155319186
428,2025-05-28 15:30:00,1999.9231663364658,0.00019999231663364657
429,2025-05-30 09:05:00,3098.420886205299,0.0003098420886205299
430,2025-05-30 09:15:00,-1800.5960840361727,-0.00018005960840361727
431,2025-05-30 09:25:00,-3700.6848778828526,-0.0003700684877882853
